hex,count_good_aircraft,count_bad_aircraft
8408a91ffffffff,5,0
8408a93ffffffff,5,0
8408a95ffffffff,8,0
8408a97ffffffff,11,0
8408a99ffffffff,6,0
8408a9bffffffff,5,0
8408a9dffffffff,4,0
8408aa1ffffffff,14,0
8408aa3ffffffff,20,0
8408aa5ffffffff,23,0
8408aa7ffffffff,28,0
8408aa9ffffffff,10,0
8408aabffffffff,15,0
8408aadffffffff,10,0
8408ab1ffffffff,15,0
8408ab3ffffffff,17,0
8408ab5ffffffff,23,0
8408ab7ffffffff,23,0
8408ab9ffffffff,11,1
8408abbffffffff,11,0
8408abdffffffff,8,0
8408ac1ffffffff,10,0
8408ac3ffffffff,14,0
8408ac5ffffffff,8,0
8408ac7ffffffff,10,0
8408ac9ffffffff,3,0
8408acbffffffff,12,0
8408acdffffffff,4,0
8408ad1ffffffff,5,0
8408ad3ffffffff,7,0
8408ad5ffffffff,5,0
8408ad7ffffffff,5,0
8408ad9ffffffff,6,0
8408adbffffffff,4,0
8408addffffffff,10,0
8408ae1ffffffff,8,0
8408ae3ffffffff,12,0
8408ae5ffffffff,14,0
8408ae7ffffffff,13,0
8408ae9ffffffff,5,0
8408aebffffffff,6,0
8408aedffffffff,6,0
8408b01ffffffff,51,0
8408b03ffffffff,50,0
8408b05ffffffff,30,0
8408b07ffffffff,33,1
8408b09ffffffff,36,1
8408b0bffffffff,34,0
8408b0dffffffff,59,0
8408b11ffffffff,25,0
8408b13ffffffff,42,0
8408b15ffffffff,54,0
8408b17ffffffff,55,0
8408b19ffffffff,18,0
8408b1bffffffff,38,0
8408b1dffffffff,27,0
8408b21ffffffff,90,1
8408b23ffffffff,80,1
8408b25ffffffff,69,3
8408b27ffffffff,76,2
8408b29ffffffff,72,0
8408b2bffffffff,76,0
8408b2dffffffff,84,1
8408b31ffffffff,94,0
8408b33ffffffff,111,0
8408b35ffffffff,75,0
8408b37ffffffff,80,1
8408b39ffffffff,31,1
8408b3bffffffff,51,0
8408b3dffffffff,98,0
8408b41ffffffff,44,0
8408b43ffffffff,19,0
8408b45ffffffff,50,0
8408b47ffffffff,40,0
8408b49ffffffff,48,0
8408b4bffffffff,38,0
8408b4dffffffff,68,0
8408b51ffffffff,15,0
8408b53ffffffff,15,0
8408b55ffffffff,13,0
8408b57ffffffff,8,0
8408b59ffffffff,16,0
8408b5bffffffff,22,0
8408b5dffffffff,13,0
8408b61ffffffff,37,0
8408b63ffffffff,34,0
8408b65ffffffff,64,0
8408b67ffffffff,68,0
8408b69ffffffff,72,0
8408b6bffffffff,61,0
8408b6dffffffff,51,0
8408c01ffffffff,3,0
8408c03ffffffff,4,0
8408c05ffffffff,10,0
8408c07ffffffff,18,0
8408c09ffffffff,6,0
8408c0bffffffff,4,0
8408c0dffffffff,6,0
8408c11ffffffff,12,1
8408c13ffffffff,5,0
8408c15ffffffff,9,0
8408c17ffffffff,6,0
8408c19ffffffff,2,0
8408c1bffffffff,6,0
8408c1dffffffff,7,1
8408c21ffffffff,17,0
8408c23ffffffff,13,0
8408c25ffffffff,15,1
8408c27ffffffff,11,0
8408c29ffffffff,15,0
8408c2bffffffff,21,0
8408c2dffffffff,12,0
8408c31ffffffff,23,0
8408c33ffffffff,4,0
8408c35ffffffff,11,0
8408c37ffffffff,4,0
8408c39ffffffff,13,0
8408c3bffffffff,8,0
8408c3dffffffff,24,0
8408c41ffffffff,4,0
8408c43ffffffff,2,0
8408c45ffffffff,7,0
8408c47ffffffff,7,0
8408c49ffffffff,2,0
8408c4bffffffff,3,0
8408c4dffffffff,3,0
8408c51ffffffff,1,0
8408c53ffffffff,2,0
8408c55ffffffff,1,0
8408c59ffffffff,3,0
8408c5bffffffff,1,0
8408c5dffffffff,2,0
8408c61ffffffff,9,0
8408c63ffffffff,11,0
8408c65ffffffff,4,0
8408c67ffffffff,7,0
8408c69ffffffff,21,0
8408c6bffffffff,8,0
8408c6dffffffff,19,0
8408c81ffffffff,1,1
8408c89ffffffff,3,0
8408c8bffffffff,3,2
8408c8dffffffff,3,0
